source_id,jurisdiction,publisher,title,source_type,format,access_level,geography,frequency,coverage,recommended_use,landing_url,direct_download_url,verified_on,notes
cihi_priority_2008_2025,Canada,CIHI,"Wait Times for Priority Procedures in Canada, 2008 to 2025",data_table,XLSX,open,"Canada; province; region for hip/knee",annual,2008-2025,Primary comparison source for hip and knee,https://www.cihi.ca/en/wait-times-in-canada-2026,https://www.cihi.ca/sites/default/files/document/wait-times-priority-procedures-in-canada-2008-2025-data-tables-en.xlsx,2026-08-27,"Latest catalogue description specifically identifies hip and knee; inspect workbook sheets before assuming other procedures"
cihi_priority_2008_2024,Canada,CIHI,"Wait Times for Priority Procedures in Canada, 2008 to 2024",data_table,XLSX,open,"Canada; province; selected region",annual,2008-2024,"Primary comparison source for cataract, hip fracture, radiation, cancer, CABG, CT and MRI",https://www.cihi.ca/en/wait-times-for-priority-procedures-in-canada-2025,,2026-08-27,Keep until the corresponding broader 2025 series is confirmed
cihi_wait_time_tool,Canada,CIHI,Explore wait times for priority procedures across Canada,dashboard,HTML,open,"Canada; province; hip/knee region",annual/recent trend,Recent 7 years,Validation and presentation cross-check,https://www.cihi.ca/en/explore-wait-times-for-priority-procedures-across-canada,,2026-08-27,Accessible data table is linked from the page
cihi_methodology_2025,Canada,CIHI,Wait Times for Priority Procedures in Canada 2025 Methodology Notes,methodology,PDF,open,Canada,annual,Current definitions,Required definition and cohort reference,https://www.cihi.ca/en/wait-times-for-priority-procedures-in-canada-2025,https://www.cihi.ca/sites/default/files/document/wait-times-for-priority-procedures-in-canada-2025-meth-notes-en.pdf,2026-08-27,Read before harmonizing provincial values
cihi_covid_surgeries,Canada,CIHI,"Surgeries Impacted by COVID-19, March 2020 to September 2022",data_table,XLSX,open,"Canada; province/territory",special release,2019-2022,Structural-break and volume context,https://www.cihi.ca/en/topics/continuum-of-care/data-tables,,2026-08-27,Useful for pandemic-era interpretation
bc_surgical_waits,BC,Government of British Columbia,BC Surgical Wait Times,open_data,CSV,open,"Province; health authority; hospital; procedure",quarterly,2009-present,Provincial drill-down,https://open.canada.ca/data/en/dataset/7c1bf2a8-96bb-4ad5-888d-a90672eb306e,,2026-08-27,"Scheduled inpatient and day surgery; verify current resource URL and licence before automation"
ab_health_dashboard,AB,Government of Alberta,Health System Dashboard,dashboard,Power BI,open interactive,"Province; facility; surgery type",periodic,current and trend,Provincial drill-down and cross-check,https://www.alberta.ca/health-system-dashboard,,2026-08-27,Export availability may depend on the visual; retain exported file and date
sk_surgical_performance,SK,Government of Saskatchewan,Surgical Performance and Wait Times,report_collection,"HTML; PDF",open,"Province; area; procedure; selected surgeon",quarterly,current and historical,Provincial drill-down,https://www.saskatchewan.ca/residents/health/accessing-health-care-services/surgery/surgical-performance-and-wait-times,,2026-08-27,Quarterly PDFs include median P90 volume within-benchmark and waiting counts
sk_specialist_directory,SK,eHealth Saskatchewan,Specialist Directory,directory,HTML,open,"Surgeon; location; procedure",current,current,Optional referral-level context,https://www.ehealthsask.ca/services/Referral-and-Consult-Tools/Pages/Specialist-Directory.aspx,,2026-08-27,Not a stable bulk-analysis source
mb_wait_dashboard,MB,Government of Manitoba,Wait Time Dashboard,dashboard,HTML,open,"Province; region/facility; selected procedure",monthly,current and historical,Provincial wait-2 drill-down,https://www.gov.mb.ca/health/dsrecovery/progress.html,,2026-08-27,Includes median wait patients waiting completed cases and backlog where relevant
mb_surgical_tables,MB,Government of Manitoba,Surgical Services Wait Time Information,web_tables,"HTML; linked XLSX",open,"Region; facility; procedure",monthly,current plus 13-month files,Provincial detail and historical extracts,https://www.gov.mb.ca/health/waittime/surgical/index.html,,2026-08-27,Separate pages for cardiac cataract hip and knee
on_wait_results,ON,Ontario Health,Wait Times Results,dashboard,"HTML; CSV export",open,"Province; region; hospital; procedure; priority",monthly,current and historical,Provincial wait-1 and wait-2 drill-down,https://www.ontariohealth.ca/system/reporting/wait-times/wait-times-results.html,,2026-08-27,Use the page export-to-CSV function and record filter selections
on_wtis_catalogue,ON,Government of Ontario,Wait Time Information System,metadata,HTML,restricted dataset,"Province; region; facility; surgeon",near real time,2005-present,Metadata and possible formal data request,https://data.ontario.ca/dataset/wait-time-information-system,,2026-08-27,Patient-level WTIS is not an ordinary public download
qc_surgery_waitlist,QC,Gouvernement du Québec,Chirurgies - Portrait de la liste d'attente,open_data,CSV,open,"Province; institution/region; specialty; wait band",periodic,current snapshots and history,Waiting-list and specialty drill-down,https://www.donneesquebec.ca/recherche/dataset/chirurgies-portrait-de-la-liste-d-attente,https://www.donneesquebec.ca/recherche/dataset/chirurgies-portrait-de-la-liste-d-attente/resource/7c83f4be-bc3a-4756-86db-115e8ead93f1,2026-08-27,Wait-list snapshot is not the same as retrospective completed-case wait time
qc_health_performance,QC,Gouvernement du Québec,Performance du réseau de la santé et des services sociaux,dashboard,HTML,open,"Province; institution; specialty",periodic,current and trend,Definitions and dashboard validation,https://www.quebec.ca/sante/systeme-et-services-de-sante/organisation-des-services/donnees-systeme-sante-quebecois-services/performance-reseau-sante-services-sociaux,,2026-08-27,Source system is SIMASS
nb_surgical_waits,NB,Government of New Brunswick,Surgical Wait Time in New Brunswick,web_tables,HTML,open,"Province; hospital; procedure; surgeon",quarterly,current plus trends,Provincial drill-down,https://www1.gnb.ca/0217/surgicalwaittimes/index-e.aspx,,2026-08-27,Shows median and P90 for selected procedures; small volumes suppressed
ns_surgical_waits,NS,Government of Nova Scotia,Surgical Wait Times for Procedures,open_data,"Socrata CSV/API",open,"Province; community; facility; procedure",periodic,Historical through current,Best machine-readable provincial drill-down,https://data.novascotia.ca/Health-and-Wellness/Surgical-Wait-Times-for-Procedures-Median-Surgery-/4kpx-rqqr,https://data.novascotia.ca/resource/4kpx-rqqr.csv?$limit=50000,2026-08-27,Includes median consultation and surgery waits by year
ns_wait_time_site,NS,Government of Nova Scotia,Nova Scotia Wait Time Information,dashboard,HTML,open,"Community; facility; procedure; surgeon",quarterly,current and trends,Current validation and detailed exploration,https://waittimes.novascotia.ca/,,2026-08-27,Data source includes Patient Access Registry Nova Scotia
nl_wait_times,NL,Government of Newfoundland and Labrador,Wait Times,web_reports,"HTML; PDF",open,"Province; zone/region; selected procedure",periodic,current and historical,Provincial cross-check and selected drill-down,https://www.gov.nl.ca/hcs/wait-times/,,2026-08-27,Public bulk machine-readable file was not identified
pei_cihi_only,PE,CIHI,PEI surgical wait-time indicators via CIHI,data_table,XLSX,open,Province,annual,2008-present where reported,Primary public comparison source,https://www.cihi.ca/en/explore-wait-times-for-priority-procedures-across-canada,,2026-08-27,No separate public machine-readable provincial surgical wait-time dataset was identified during review
statcan_population,Canada,Statistics Canada,Population estimates on July 1 by age and gender,open_data,"CSV; API",open,"Canada; province/territory",annual,1971-present,Population and age-65-plus model features,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710000501,,2026-08-27,Table 17-10-0005-01
statcan_population_projection,Canada,Statistics Canada,Projected population by scenario age and gender,open_data,"CSV; API",open,"Canada; province/territory",annual,Projection horizon,Scenario inputs for future denominators,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1710005701,,2026-08-27,Table 17-10-0057-01; do not use projected population as observed history
cihi_health_workforce,Canada,CIHI,Health Workforce in Canada data tables,data_table,XLSX,open,"Canada; province/territory; profession",annual,Recent multi-year,Physician nurse and staffing features,https://www.cihi.ca/en/health-workforce-in-canada-overview,,2026-08-27,More than 30 professional groups
cihi_hospital_beds,Canada,CIHI,"Hospital Beds, 2024-2025",data_table,XLSX,open,"Province; hospital/care setting where supplied",annual,2024-2025,Capacity context and model feature,https://www.cihi.ca/en/topics/acute-care/data-tables,,2026-08-27,Staffed and in-operation beds
cihi_nhex,Canada,CIHI,National Health Expenditure Trends 2025,data_table,"XLSX; open data",open,"Canada; province/territory",annual,1975-2025,Spending context and model feature,https://www.cihi.ca/en/topics/health-spending/data-tables,,2026-08-27,Use constant-dollar or per-capita series consistently
